編號	名稱
id	name
30300014	體力禮包
30300015	功勳禮包
30300016	陣法經驗禮包
30300017	元寶禮包
30300018	銅錢禮包
30300021	太初大禮包
30300034	大銅錢禮包
30300035	元寶禮包
30300036	大元寶禮包
30300037	功勳禮包
30300038	體力禮包
30300102	50元寶禮包
30300103	10w銅錢禮包
30300109	補償禮包
30300110	補償禮包
30300111	補償禮包
30300112	補償禮包
30300113	補償禮包
30300143	饅頭
30300144	包子
30300145	100體力
30300156	500元寶
30300157	100功勳
30300158	1碎片
30300159	5碎片
30300160	10碎片
30300161	50萬銅錢
30300162	100萬銅錢
30300163	1太初
30300164	5太初
30300165	100元寶禮包
30300234	5萬銅錢禮包
30300235	10萬銅錢禮包
30300236	100萬銅錢特惠禮包
30300237	500萬銅錢特惠禮包
30300238	1000萬銅錢特惠禮包
30300239	20體力禮包
30300240	40體力禮包
30300241	100體力特惠禮包
30300242	200體力特惠禮包
30300245	星宿碎片*1禮包
30300246	星宿碎片*5特惠禮包
30300247	500功勳禮包
30300248	1000功勳禮包
30300249	5000功勳特惠禮包
30300250	100魂石禮包
30300251	300魂石特惠禮包
30300252	氣運點*1禮包
30300253	氣運點*10特惠禮包
30300542	造船令*1禮包
30300543	造船令*5禮包
30300544	造船令*10禮包
30300545	心法*1禮包
30300546	心法*5禮包
30300547	心法*10禮包
30300548	心法*50禮包
30300549	心法*100禮包
