命格id	命格名稱	命格等級	命格增加屬性編號1	命格增加屬性值1	命格增加屬性編號2	命格增加屬性值2	比较实力排序
markid	markname	marklevel	markattrid1	markattrnum1	markattrid2	markattrnum2	list
10320101	天狼	1	7	100	0	0	13
10320102	天狼	2	7	150	0	0	13
10320103	天狼	3	7	200	0	0	13
10320104	天狼	4	7	250	0	0	13
10320105	天狼	5	7	300	0	0	13
10320106	天狼	6	7	350	0	0	13
10320107	天狼	7	7	400	0	0	13
10320108	天狼	8	7	450	0	0	13
10320109	天狼	9	7	500	0	0	13
10320110	天狼	10	7	550	0	0	13
10320111	天狼	11	7	600	0	0	13
10320112	天狼	12	7	650	0	0	13
10320201	天煞	1	9	100	0	0	21
10320202	天煞	2	9	150	0	0	21
10320203	天煞	3	9	200	0	0	21
10320204	天煞	4	9	250	0	0	21
10320205	天煞	5	9	300	0	0	21
10320206	天煞	6	9	350	0	0	21
10320207	天煞	7	9	400	0	0	21
10320208	天煞	8	9	450	0	0	21
10320209	天煞	9	9	500	0	0	21
10320210	天煞	10	9	550	0	0	21
10320211	天煞	11	9	600	0	0	21
10320212	天煞	12	9	650	0	0	21
10320301	天破	1	8	100	0	0	17
10320302	天破	2	8	150	0	0	17
10320303	天破	3	8	200	0	0	17
10320304	天破	4	8	250	0	0	17
10320305	天破	5	8	300	0	0	17
10320306	天破	6	8	350	0	0	17
10320307	天破	7	8	400	0	0	17
10320308	天破	8	8	450	0	0	17
10320309	天破	9	8	500	0	0	17
10320310	天破	10	8	550	0	0	17
10320311	天破	11	8	600	0	0	17
10320312	天破	12	8	650	0	0	17
10330101	天軍	1	7	200	0	0	12
10330102	天軍	2	7	300	0	0	12
10330103	天軍	3	7	400	0	0	12
10330104	天軍	4	7	500	0	0	12
10330105	天軍	5	7	600	0	0	12
10330106	天軍	6	7	700	0	0	12
10330107	天軍	7	7	800	0	0	12
10330108	天軍	8	7	900	0	0	12
10330109	天軍	9	7	1000	0	0	12
10330110	天軍	10	7	1100	0	0	12
10330111	天軍	11	7	1200	0	0	12
10330112	天軍	12	7	1300	0	0	12
10330201	天梁	1	9	200	0	0	20
10330202	天梁	2	9	300	0	0	20
10330203	天梁	3	9	400	0	0	20
10330204	天梁	4	9	500	0	0	20
10330205	天梁	5	9	600	0	0	20
10330206	天梁	6	9	700	0	0	20
10330207	天梁	7	9	800	0	0	20
10330208	天梁	8	9	900	0	0	20
10330209	天梁	9	9	1000	0	0	20
10330210	天梁	10	9	1100	0	0	20
10330211	天梁	11	9	1200	0	0	20
10330212	天梁	12	9	1300	0	0	20
10330301	天府	1	8	200	0	0	16
10330302	天府	2	8	300	0	0	16
10330303	天府	3	8	400	0	0	16
10330304	天府	4	8	500	0	0	16
10330305	天府	5	8	600	0	0	16
10330306	天府	6	8	700	0	0	16
10330307	天府	7	8	800	0	0	16
10330308	天府	8	8	900	0	0	16
10330309	天府	9	8	1000	0	0	16
10330310	天府	10	8	1100	0	0	16
10330311	天府	11	8	1200	0	0	16
10330312	天府	12	8	1300	0	0	16
10330401	天翼	1	10	175	0	0	22
10330402	天翼	2	10	250	0	0	22
10330403	天翼	3	10	325	0	0	22
10330404	天翼	4	10	400	0	0	22
10330405	天翼	5	10	475	0	0	22
10330406	天翼	6	10	550	0	0	22
10330407	天翼	7	10	625	0	0	22
10330408	天翼	8	10	700	0	0	22
10330409	天翼	9	10	775	0	0	22
10330410	天翼	10	10	850	0	0	22
10330411	天翼	11	10	925	0	0	22
10330412	天翼	12	10	1000	0	0	22
10330501	天室	1	11	175	0	0	23
10330502	天室	2	11	250	0	0	23
10330503	天室	3	11	325	0	0	23
10330504	天室	4	11	400	0	0	23
10330505	天室	5	11	475	0	0	23
10330506	天室	6	11	550	0	0	23
10330507	天室	7	11	625	0	0	23
10330508	天室	8	11	700	0	0	23
10330509	天室	9	11	775	0	0	23
10330510	天室	10	11	850	0	0	23
10330511	天室	11	11	925	0	0	23
10330512	天室	12	11	1000	0	0	23
10330601	天固	1	12	175	0	0	24
10330602	天固	2	12	250	0	0	24
10330603	天固	3	12	325	0	0	24
10330604	天固	4	12	400	0	0	24
10330605	天固	5	12	475	0	0	24
10330606	天固	6	12	550	0	0	24
10330607	天固	7	12	625	0	0	24
10330608	天固	8	12	700	0	0	24
10330609	天固	9	12	775	0	0	24
10330610	天固	10	12	850	0	0	24
10330611	天固	11	12	925	0	0	24
10330612	天固	12	12	1000	0	0	24
10330701	天權	1	16	10	0	0	35
10330702	天權	2	16	20	0	0	35
