id	主服	从服
gameid	serverid1	serverid2
26	11	12,13,14,15,16
27	11	12,13,14,15,16,17,18,19,20
29	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
32	11	12,13,14,15,16,17,18,19,20
20	11	12,13,14,15,16,17,18,19,20,21,22,23,24
35	11	12,13,14,15,16,17,18,19,20
35	21	22,23,24,25,26,27,28,29,30
34	11	12,13,14,15,16,17,18,19,20
34	21	22,23,24,25,26,27,28,29,30
9	1	12,13,14,15,16,17,18,19,20
9	21	22,23,24,25,26,27,28,29,30,31
12	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25
12	26	27,28,29,30,31,32,33,34,35,36,37,38,39,40
12	41	42,43,44,45,46,47,48,49,50,51,52,53,54,55
12	56	57,58,59,60,61,62
13	11	12,13,14,15,16,17,18,19,20
13	21	22,23,24,25,26,27,28,29,30
13	31	32,33,34,35
14	11	12,13,14,15,16,17,18,19,20
14	21	22,23,24,25,26,27,28,29,30
14	31	32,33,34,35,36
15	11	12,13,14,15,16,17,18,19,20
15	21	22,23,24,25,26,27,28,29,30
15	31	32,33,34,35,36,37
28	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25
28	26	27,28,29,30,31,32,33,34,35,36,37,38,39,40
28	41	42,43,44,45,46,47,48,49,50,51,52,53,54,55
31	11	12,13,14,15,16,17,18,19,20
31	21	22,23,24,25,26,27,28,29,30
31	31	32,33,34,35,36,37,38,39,40
33	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
33	31	32,33,34,35,36,37,38,39,40,41,42,43,44,45
33	46	47,48,49,50
33	51	52,53,54,55
33	56	57,58,59
33	60	61,62
23	11	12,13,14,15,16,17,18,19,20
23	21	22,23,24,25,26,27,28,29,30
23	31	32,33,34,35,36,37
24	11	12,13,14,15,16,17,18,19,20
24	21	22,23,24,25,26,27,28,29,30
24	31	32,33,34,35
24	41	42,43,44,45,46,47,48,49,50
24	36	37,38,39,40
10	1	2,13,14,15,16,17,18,19,20,21,22,23,24,25
10	26	27,28,29,30,31,32,33,34,35,36,37,38,39,40
10	41	42,43,44,45,46,47,48,49,50,51,52,53,54,55
10	56	57,58,59,60,61,62,63,64,65,66,67,68,69
10	70	71,72,73,74,75,76,77,78,79,80,81,82,83,84
25	11	12,13,14,15,16,17,18,19,20
25	21	22,23,24,25,26,27,28,29,30
25	31	32,33,34,35
25	36	37,38,39,40
25	41	42,43,44,45
25	46	47,48,49,50
7	11	12
7	13	14,15
7	16	17
16	11	12,13,14,15,16,17,18,19,20
16	21	22,23,24,25,26,27,28,29,30
16	31	32,33,34,35,36,37
3	13	14
3	17	18,19,20,21,22
3	23	24,25,26,27,28
3	29	30,31,32
3	33	34,35,36
37	11	12,13
