id	主服	从服
gameid	serverid1	serverid2
26	11	12,13,14,15,16
27	11	12,13,14,15,16,17,18,19,20
29	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
32	11	12,13,14,15,16,17,18,19,20
20	11	12,13,14,15,16,17,18,19,20,21,22,23,24
35	11	12,13,14,15,16,17,18,19,20
35	21	22,23,24,25,26,27,28,29,30
34	11	12,13,14,15,16,17,18,19,20
34	21	22,23,24,25,26,27,28,29,30
9	1	12,13,14,15,16,17,18,19,20
9	21	22,23,24,25,26,27,28,29,30,31
12	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
12	41	42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
12	63	64,65,66,67,68,69,70
12	71	72,73,74,75
13	11	12,13,14,15,16,17,18,19,20
13	21	22,23,24,25,26,27,28,29,30
13	31	32,33,34,35
14	11	12,13,14,15,16,17,18,19,20
14	21	22,23,24,25,26,27,28,29,30
14	31	32,33,34,35,36
14	37	38,39,40
14	41	42,43,44,45,46,47,48,49,50
14	51	52,53,54,55,56,57,58,59,60
15	11	12,13,14,15,16,17,18,19,20
15	21	22,23,24,25,26,27,28,29,30
15	31	32,33,34,35,36,37
28	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25
28	26	27,28,29,30,31,32,33,34,35,36,37,38,39,40
28	41	42,43,44,45,46,47,48,49,50,51,52,53,54,55
31	11	12,13,14,15,16,17,18,19,20
31	21	22,23,24,25,26,27,28,29,30
33	11	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
33	60	61,62,63,64,65,66,67,68,69,70,71,72
33	73	74,75,76,77
33	78	79,80
33	81	82,83,84
23	11	12,13,14,15,16,17,18,19,20
23	21	22,23,24,25,26,27,28,29,30
23	31	32,33,34,35,36,37
10	1	2,13,14,15,16,17,18,19,20,21,22,23,24,25
10	26	27,28,29,30,31,32,33,34,35,36,37,38,39,40
10	41	42,43,44,45,46,47,48,49,50,51,52,53,54,55
10	56	57,58,59,60,61,62,63,64,65,66,67,68,69
10	70	71,72,73,74,75,76,77,78,79,80,81,82,83,84
10	85	86,87,88,89,90,91,92,93,94,95,96,97,98,99
7	11	12
7	13	14,15
7	16	17
16	11	12,13,14,15,16,17,18,19,20
16	21	22,23,24,25,26,27,28,29,30
16	31	32,33,34,35,36,37
3	13	14
3	17	18,19,20,21,22
3	23	24,25,26,27,28
3	29	30,31,32
3	33	34,35,36
3	41	42,43,44
3	45	46,47,48
3	49	50,51
3	52	53,54,55
3	56	57
3	58	59
3	60	61,62,63
3	64	65,66
3	37	38,39,40
3	67	68,69,70,71
3	72	73,74,75,76,77,78
3	79	80,81,82,83,84,85
3	86	87,88,89,90
3	91	92,93,94,95
3	96	97
5	20	21,22
5	12	13
5	14	15,16
5	17	18,19
5	23	24,25,26,27,28
5	29	30,31,32,33,34
5	35	36,37,38
5	39	40,41,42,43
5	44	45,46,47
5	50	48,49,51
5	53	52
5	57	54,55,56
5	60	58,59
5	61	62,63,64
5	65	66,67,68
4	12	13
4	14	15,16
4	17	18,19,20
4	21	22,23,24
4	25	26,27,28
4	29	30,31,32
4	33	34,35,36
4	37	38,39,40,41
