編號	名稱
id	name
30300014	體力禮包
30300015	聲望禮包
30300016	天賦點禮包
30300017	金幣禮包
30300018	銀幣禮包
30300033	銀幣禮包
30300034	大銀幣禮包
30300035	金幣禮包
30300036	大金幣禮包
30300037	聲望禮包
30300038	體力禮包
30300102	50金幣禮包
30300103	10w銀幣禮包
30300109	補償禮包
30300110	補償禮包
30300111	補償禮包
30300112	補償禮包
30300113	補償禮包
30300125	補償禮包
30300143	奶酪
30300144	火雞
30300145	100體力
30300156	500金幣
30300157	100聲望
30300158	1碎片
30300159	5碎片
30300160	10碎片
30300161	50萬銀幣
30300162	100萬銀幣
30300163	1星座之力
30300164	5星座之力
30300165	100金幣
30300254	5萬銀幣
30300255	10萬銀幣
30300256	100萬銀幣
30300257	500萬銀幣
30300258	1000萬銀幣
30300259	普通奶酪
30300260	美味奶酪
30300261	普通燒雞
30300262	美味燒雞
30300263	完美寶石碎片*1禮包
30300264	完美寶石碎片*2禮包
30300265	星座碎片*1
30300266	星座碎片*5
30300267	500聲望
30300268	1000聲望
30300269	5000聲望
30300270	100寶石碎片
30300271	300寶石碎片
30300272	1幸運點
30300273	10幸運點
30300274	10黃色徽章
30300275	100黃色徽章
30300287	寶石碎片*10禮包
30300288	體力*10禮包
30300289	銀幣*25萬禮包
30300290	金幣*66禮包
30300291	星座碎片*2禮包
