星宿id	星宿名稱	星宿升級所需經驗	兌換消耗	可否兌換	最低兌換等級	命力計算參數	星宿類型	星宿品質	星宿提供經驗	星宿圖示	出售價格	最低穿戴等級	每级增加数值	每级增加数值	星宿說明1	星宿兌換說明	星宿說明	啟動需求星宿id1	啟動說明1	啟動需求星宿id2	啟動說明2	是否可拾取	是否可賣出
markid	markname	levelupexp	exchangeconsume	ischang	exchangelevel	markcri	marktype	markquality	markexp	marktexiao	markprice	uselevel	levenum1	levenum2	marktips1	markchangetips	marktips2	unlockneedmarkid1	unlocktips1	unlockneedmarkid2	unlocktips2	isshique	issall
10320101	禦夫	0|120|240|480|960|1920|3840|7680|11790|15360|23040|30720	0	0	0	0.1	1	2	30	10001	6750	1	50	0	增加物理攻擊%	每升一級增加物理攻擊%	0	0	0	0	0	1	1
10320201	蛇夫	0|120|240|480|960|1920|3840|7680|11790|15360|23040|30720	0	0	0	0.1	1	2	30	10002	6750	1	50	0	增加絕技攻擊%	每升一級增加絕技攻擊%	0	0	0	0	0	1	1
10320301	獵戶	0|120|240|480|960|1920|3840|7680|11790|15360|23040|30720	0	0	0	0.1	1	2	30	10003	6750	1	50	0	增加法術攻擊%	每升一級增加法術攻擊%	0	0	0	0	0	1	1
10330101	巨蛇	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10004	13500	1	100	0	增加物理攻擊%	每升一級增加物理攻擊%	0	0	0	0	0	1	1
10330201	人馬	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10005	13500	1	100	0	增加絕技攻擊%	每升一級增加絕技攻擊%	0	0	0	0	0	1	1
10330301	飛馬	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10006	13500	1	100	0	增加法術攻擊%	每升一級增加法術攻擊%	0	0	0	0	0	1	1
10330401	狐狸	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10007	13500	1	75	0	增加物理防禦%	每升一級增加物理防禦%	0	0	0	0	0	1	1
10330501	大熊	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10008	13500	1	75	0	增加法術防禦%	每升一級增加法術防禦%	0	0	0	0	0	1	1
10330601	飛魚	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10009	13500	1	75	0	增加絕技防禦%	每升一級增加絕技防禦%	0	0	0	0	0	1	1
10330701	劍魚	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10010	13500	1	10	0	增加閃避等級%	每升一級增加閃避等級%	0	0	0	0	0	1	1
10330801	水蛇	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10011	13500	1	20	0	增加暴擊等級%	每升一級增加暴擊等級%	0	0	0	0	0	1	1
10330901	海豚	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10012	13500	1	20	0	增加命中等級%	每升一級增加命中等級%	0	0	0	0	0	1	1
10331001	鲸鱼	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10013	13500	1	20	0	增加格擋等級%	每升一級增加格擋等級%	0	0	0	0	0	1	1
10331101	獵犬	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10014	13500	1	3	0	增加怒氣%	每升一級增加怒氣%	0	0	0	0	0	1	1
10340101	天龍	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10015	20250	1	150	0	增加物理攻擊%	每升一級增加物理攻擊%	0	0	0	0	0	1	1
10340201	天鵝	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10016	20250	1	150	0	增加絕技攻擊%	每升一級增加絕技攻擊%	0	0	0	0	0	1	1
10340301	天箭	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10017	20250	1	150	0	增加法術攻擊%	每升一級增加法術攻擊%	0	0	0	0	0	1	1
10340401	天鴿	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10018	20250	1	1000	0	增加生命%	每升一級增加生命%	0	0	0	0	0	1	1
10340501	天鷹	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10019	20250	1	20	0	增加閃避等級%	每升一級增加閃避等級%	0	0	0	0	0	1	1
10340601	天燕	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10020	20250	1	30	0	增加暴擊等級%	每升一級增加暴擊等級%	0	0	0	0	0	1	1
10340701	天壇	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10021	20250	1	30	0	增加命中等級%	每升一級增加命中等級%	0	0	0	0	0	1	1
10340801	天貓	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10022	20250	1	30	0	增加格擋等級%	每升一級增加格擋等級%	0	0	0	0	0	1	1
10340901	天鶴	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10023	20250	1	4	0	增加怒氣%	每升一級增加怒氣%	0	0	0	0	0	1	1
10341001	天兔	0|480|960|1920|3840|7680|15360|30720|46080|61440|92160|122880	5	1	1	0.1	1	4	120	10024	20250	1	40	0	增加破擊等級%	每升一級增加破擊等級%	0	0	0	0	0	1	1
10350101	雙子	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	60	0.1	1	5	720	10025	27000	1	500	0	增加物理攻擊%	每升一級增加物理攻擊%	0	0	0	0	0	1	1
10350301	獅子	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	60	0.1	1	5	720	10026	27000	1	500	0	增加法術攻擊%	每升一級增加法術攻擊%	0	0	0	0	0	1	1
10350201	巨蟹	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	60	0.1	1	5	720	10027	27000	1	500	0	增加絕技攻擊%	每升一級增加絕技攻擊%	0	0	0	0	0	1	1
10350401	白羊	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	20	0.1	1	5	720	10028	27000	1	2000	0	增加生命%	每升一級增加生命%	0	0	0	0	0	1	1
10350501	水瓶	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	120	0.1	1	5	720	10029	27000	1	40	0	增加閃避等級%	每升一級增加閃避等級%	0	0	0	0	0	1	1
10350601	雙魚	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	110	0.1	1	5	720	10030	27000	1	60	0	增加暴擊等級%	每升一級增加暴擊等級%	0	0	0	0	0	1	1
10350701	處女	0|960|1920|3840|7680|15360|30720|61440|92160|122880|184320|245760	20	1	60	0.1	1	5	720	10031	27000	1	60	0	增加命中等級%	每升一級增加命中等級%	0	0	0	0	0	1	1
