id	物品id	原價（显示用）	價格	每日限購(-1表示不限購)	需求等級	活動期間限購(-1表示不限購)	總限購(-1表示不限購)	是否在普通商城上架	隸屬切頁(1熱賣2時裝3超值禮包4限時搶購)	标签(0无1new2hot)	备注	顯示	是否时装	时装id	物品圖片	活動限制
id	itemid	price	yuanbao	daylimit	lvl	limit	totallimit	active	type	title	help	tips	dress	dressid	shopicon	actlimit
1	30300254	10	8	1	10	-1	-1	1	1|3	0	5萬銀幣	使用可獲得<font color="#fff100">5萬銀幣</font>	0	0	shop_1001	0
2	30300255	20	16	1	10	-1	-1	1	1|3	0	10萬銀幣	使用可獲得<font color="#fff100">10萬銀幣</font>	0	0	shop_1001	0
3	30300256	200	148	1	40	10	-1	1	1|3	2	100萬銀幣	使用可獲得<font color="#fff100">100萬銀幣</font>	0	0	shop_1001	0
4	30300257	1000	388	1	50	10	-1	1	1|3	1	500萬銀幣	使用可獲得<font color="#fff100">500萬銀幣</font>	0	0	shop_1001	0
5	30300258	2000	688	1	60	10	-1	1	1|3	1	1000萬銀幣	使用可獲得<font color="#fff100">1000萬銀幣</font>	0	0	shop_1001	0
6	30300259	40	8	1	10	10	-1	0	3	0	普通奶酪	使用可獲得<font color="#fff100">20體力</font>	0	0	shop_1006	0
7	30300260	80	18	1	10	10	-1	0	3	2	美味奶酪	使用可獲得<font color="#fff100">40體力</font>	0	0	shop_1006	0
8	30300261	200	48	1	10	10	-1	0	3	2	普通燒雞	使用可獲得<font color="#fff100">100體力</font>	0	0	shop_1008	0
9	30300262	400	88	1	10	10	-1	0	3	1	美味燒雞	使用可獲得<font color="#fff100">200體力</font>	0	0	shop_1008	0
10	30300263	500	298	2	60	10	-1	1	1|3	1	完美寶石碎片*1禮包	使用可獲得<font color="#fff100">1個完美寶石碎片</font>	0	0	shop_1010	0
11	30300264	1000	588	2	60	10	-1	0	3	1	完美寶石碎片*2禮包	使用可獲得<font color="#fff100">2個完美寶石碎片</font>	0	0	shop_1010	0
12	30300265	80	50	1	20	10	-1	1	1|3	2	星座碎片*1	使用可獲得<font color="#fff100">1個星座碎片</font>	0	0	shop_1012	0
13	30300266	400	200	1	20	10	-1	0	3	1	星座碎片*5	使用可獲得<font color="#fff100">5個星座碎片</font>	0	0	shop_1012	0
14	30300267	100	48	2	40	10	-1	1	1|3	2	500聲望	使用可獲得<font color="#fff100">500聲望</font>	0	0	shop_1014	0
15	30300268	200	88	2	40	10	-1	0	1|3	1	1000聲望	使用可獲得<font color="#fff100">1000聲望</font>	0	0	shop_1014	0
16	30300269	1000	388	2	60	10	-1	0	3	1	5000聲望	使用可獲得<font color="#fff100">5000聲望</font>	0	0	shop_1014	0
17	30300270	200	88	2	45	10	-1	1	3	2	100寶石碎片	使用可獲得<font color="#fff100">100寶石碎片</font>	0	0	shop_1017	0
18	30300271	600	188	2	45	10	-1	0	3	1	300寶石碎片	使用可獲得<font color="#fff100">300寶石碎片</font>	0	0	shop_1017	0
