编号	活动名称	活动label	是否可开
id	name	label	canopen
1	幸运大转盘/我爱世界杯	zhuanpan	1
2	摇一摇	laohuji	1
3	中秋献礼	zhongqiu	1
4	冰雪(女神)	icesnow	1
5	狙击哥布林	sheji	1
6	Xmas	xmas	1
7	金币转影刃	yingren	1
8	转维纳斯	venus	1
9	转阿瑞斯	ares	1
10	雅典娜	athena	1
11	打地鼠	mouse	1
12	女神宰牲节套牛	cow	1
13	拔萝卜	luobo	1
14	糖果活动	candy	1
15	赫拉	hela	1
16	感恩节活动	thanksgiving	1
17	圣诞大冒险(台湾)	chess	1
18	冒险岛(台湾)	adventure	1
19	情人节大冒险	valentine	1
20	齐天大圣	monkey	1
21	金币大乐透	daletou	1
22	老奶奶彩票	crowdfund	1
23	丝绸之路	silkroad	1
24	幸运转转转	luckyturn	1
25	冒险岛	island	1
26	兔萌萌	tumengmeng	1
