打点编号	对应操作
id	operation
100	100001
200	选中关羽3技能
300	对boss施放
310	100002
320	100003
330	100004
400	随机名字/玩家输入名字
500	点击进入游戏
600	100010
800	点击主界面温泉
810	100020
900	点击九天玄女
1000	点击技能图标
1100	100030
1200	点击关闭
1300	点击退出按钮
1400	100050
1500	点击召唤建筑
1600	100060
1700	点击普通符箓
1800	普通召唤
1900	点击召唤确认1（重点关注）
2000	点击武将信息确认
2100	100069
2200	100070
2300	点击元宝召唤
2400	元宝召唤
2500	点击召唤确认2（重点关注）
2600	点击关闭
2700	100080
2800	100090
2900	凉州开启，点击确定
3000	点击主界面副本按钮
3100	进入地图
3200	选中凉州图标
3400	点击战斗
3410	100091
3500	选中甄姬
3600	选中廖化
3700	开始战斗
3800	100100
3900	攻击克制说明
4000	第一次点击攻击（右上角小兵）
4100	第二次点击攻击（左上角小兵）
4200	点击技能图标
4300	点击技能说明
4400	廖化技能攻击右上角小兵
4500	点击技能图标
4600	点击技能说明
4700	甄姬对廖化施放回复术
5000	战斗胜利特效
5100	玩家点击界面
5200	宝箱及相关特效跳出
5210	100110
5300	得到普通符箓，点击确认
5400	首次通关奖励5元宝，点击确认
5500	点击主界面召唤
5600	选中普通符箓
5700	召唤
5800	玩家点击确认（重点关注）
5900	100120
6000	跳出属性相生说明，点击确认
6100	100130
6200	点击主界面武将按钮
6300	点击装备标签
6400	点击长生标签
6500	点击长生头部装备
6600	点击佩戴
6700	确认装备
6800	100140
6900	点击装备
7000	点击装备界面的强化按钮
7100	点击强化界面的强化按钮
7200	100150
7300	关闭
7400	关闭武将界面
7500	100160
7600	点击主界面的强化阵按钮
7700	选中廖化
7800	选中长枪兵
7900	点击强化
8000	点击确认
8100	100170
8200	点击副本按钮
8300	点击凉州
8400	点击掉落信息
8500	点击战斗
8600	100172
8700	上阵三个武将
8800	开始战斗
8900	100180
9000	100190
9400	战斗胜利特效
9500	玩家点击界面
9600	宝箱及相关特效跳出
9700	得到长生装备，点击确认
9800	首次通关奖励5元宝
9900	点击主界面武将按钮
10000	点击装备标签
10100	点击长生标签
10200	点击长生左肩装备
10300	点击佩戴
10400	点击装备
10500	100210
10510	100220
10600	装备掉落说明
