物品ID	商品類型	商品名稱	商店類型	排序	appstore商品id	貨幣	價格	價格	夠買數量	額外贈送	最多夠買個數	自然天限制	自然周限制	自然月限制	最小等級	時間限制(秒)購買建個時間	禮包存在持續時間	开启建筑id	掉落包（所有id不能重複）	觸發夠買等級	活動表id	是否顯示	圖標	描述	領取完的圖標	新手卡獎勵描述1	新手卡獎勵描述2	新手卡tips內容
item_id	item_type	name	type	sort	ios_product_id	currency	ios_price	android_price	buy_num	extra_num	max_num	is_day	is_week	is_month	min_level	time_limit	duration	building_id	giftbag_id	buy_lev	act_id	is_show	icon	desc	taken_icon	award_desc1	award_desc2	tips
1	9	普通符籙	1	1	0	3	12	12	1	0	0	1	0	0	0	0	0	0	1001	0	0	1	images/shop/0001.png	蘊含神秘力量的符籙。|可召喚1名1~3星的武將。|結果無法預測。				
2	9	高級符籙	1	2	0	3	240	240	1	0	1	0	1	0	0	0	0	0	1002	0	0	1	images/shop/0002.png	蘊含神秘力量的符籙。|可召喚1名3~5星的武將。|結果無法預測。				
3	9	水系符籙	1	3	0	3	300	300	1	0	1	0	1	0	0	0	0	0	1003	0	0	1	images/shop/0003.png	蘊含神秘力量的符籙。|可召喚1名水屬性3~5星的武將。|結果無法預測。				
4	9	火系符籙	1	4	0	3	300	300	1	0	1	0	1	0	0	0	0	0	1004	0	0	1	images/shop/0004.png	蘊含神秘力量的符籙。|可召喚1名火屬性3~5星的武將。|結果無法預測。				
5	9	風系符籙	1	5	0	3	300	300	1	0	1	0	1	0	0	0	0	0	1005	0	0	1	images/shop/0005.png	蘊含神秘力量的符籙。|可召喚1名風屬性3~5星的武將。|結果無法預測。				
6	7	小天魔	1	6	0	3	180	180	1	0	1	0	1	0	0	0	0	0	1006	0	0	1	images/shop/0006.png	可愛的小天魔。|武將用其強化可提升武將技能。				
7	7	隨機精靈怪	1	7	0	3	100	100	1	0	1	1	0	0	0	0	0	0	1007	0	0	1	images/shop/0007.png	隨機獲得一個精靈怪。|武將用其強化可獲得大量經驗。				
8	13	補充體力	2	1	0	2	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0008.png	MAX				
9	14	令牌	2	2	0	2	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0009.png	MAX				
10	1	一串銅錢	2	4	0	2	30	30	60000	0	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0010.png	60000				
11	1	一袋銅錢	2	5	0	2	100	100	210000	20000	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0011.png	230000				
12	1	一箱銅錢	2	6	0	2	500	500	1050000	260000	0	0	0	0	0	0	0	0	0	0	0	1	images/shop/0012.png	1310000				
