皮肤id	武将id	皮肤组	皮肤碎片消耗	铜钱消耗	皮肤名称	假戰鬥己方陣容（只填一個）	假戰鬥敵方陣容（多個用豎線分隔）
id	partner	skin_group	skin_piece_cost	mana_cost	skin_name	attack_monster_group	defence_monster_groups
10100001	10016101	10100001	100	100000	魏延	820009481	821000011|821000021|821000031
10100002	10016102	10100001	100	100000	魏延	820009491	821000011|821000021|821000031
10100003	10016103	10100001	100	100000	魏延	820009501	821000011|821000021|821000031
10100004	10016104	10100001	100	100000	魏延	820009511	821000011|821000021|821000031
10100005	10016105	10100001	100	100000	魏延	820009521	821000011|821000021|821000031
10101001	10026101	10101001	100	100000	小喬	820009531	821000011|821000021|821000031
10101002	10026102	10101001	100	100000	小喬	820009541	821000011|821000021|821000031
10101003	10026103	10101001	100	100000	小喬	820009551	821000011|821000021|821000031
10101004	10026104	10101001	100	100000	小喬	820009561	821000011|821000021|821000031
10101005	10026105	10101001	100	100000	小喬	820009571	821000011|821000021|821000031
10111001	10004101	10111001	100	100000	步練師	820010121	821000011|821000021|821000031
10111002	10004102	10111001	100	100000	步練師	820010131	821000011|821000021|821000031
10111003	10004103	10111001	100	100000	步練師	820010141	821000011|821000021|821000031
10111004	10004104	10111001	100	100000	步練師	820010151	821000011|821000021|821000031
10111005	10004105	10111001	100	100000	步練師	820010161	821000011|821000021|821000031
10112001	10040101	10112001	100	100000	徐晃	820010171	821000011|821000021|821000031
10112002	10040102	10112001	100	100000	徐晃	820010181	821000011|821000021|821000031
10112003	10040103	10112001	100	100000	徐晃	820010191	821000011|821000021|821000031
10112004	10040104	10112001	100	100000	徐晃	820010201	821000011|821000021|821000031
10112005	10040105	10112001	100	100000	徐晃	820010211	821000011|821000021|821000031
