ID	武將名字	魔靈類型：水=1；火=2；風=3；光=4；暗=5
id	name	type
10001001	徐盛	1
10001002	徐盛	2
10001003	徐盛	3
10001004	徐盛	4
10001005	徐盛	5
10001101	真・徐盛	1
10001102	真・徐盛	2
10001103	真・徐盛	3
10001104	真・徐盛	4
10001105	真・徐盛	5
10002001	甄姬	1
10002002	甄姬	2
10002003	甄姬	3
10002004	甄姬	4
10002005	甄姬	5
10002101	真・甄姬	1
10002102	真・甄姬	2
10002103	真・甄姬	3
10002104	真・甄姬	4
10002105	真・甄姬	5
10003001	文醜	1
10003002	文醜	2
10003003	文醜	3
10003004	文醜	4
10003005	文醜	5
10003101	真・文醜	1
10003102	真・文醜	2
10003103	真・文醜	3
10003104	真・文醜	4
10003105	真・文醜	5
10004001	步練師	1
10004002	步練師	2
10004003	步練師	3
10004004	步練師	4
10004005	步練師	5
10004101	真・步練師	1
10004102	真・步練師	2
10004103	真・步練師	3
10004104	真・步練師	4
10004105	真・步練師	5
10005001	徐庶	1
10005002	徐庶	2
10005003	徐庶	3
10005004	徐庶	4
10005005	徐庶	5
10005101	真・徐庶	1
10005102	真・徐庶	2
10005103	真・徐庶	3
10005104	真・徐庶	4
10005105	真・徐庶	5
10006001	廖化	1
10006002	廖化	2
10006003	廖化	3
10006004	廖化	4
10006005	廖化	5
10006101	真・廖化	1
10006102	真・廖化	2
10006103	真・廖化	3
10006104	真・廖化	4
10006105	真・廖化	5
10007001	許褚	1
10007002	許褚	2
10007003	許褚	3
10007004	許褚	4
10007005	許褚	5
10007101	真・許褚	1
10007102	真・許褚	2
10007103	真・許褚	3
10007104	真・許褚	4
10007105	真・許褚	5
10008001	馬謖	1
10008002	馬謖	2
10008003	馬謖	3
10008004	馬謖	4
10008005	馬謖	5
10008101	真・馬謖	1
10008102	真・馬謖	2
10008103	真・馬謖	3
10008104	真・馬謖	4
10008105	真・馬謖	5
10009001	曹植	1
10009002	曹植	2
10009003	曹植	3
10009004	曹植	4
10009005	曹植	5
10009101	真・曹植	1
10009102	真・曹植	2
10009103	真・曹植	3
10009104	真・曹植	4
10009105	真・曹植	5
10010001	夏侯霸	1
10010002	夏侯霸	2
10010003	夏侯霸	3
10010004	夏侯霸	4
10010005	夏侯霸	5
10010101	真・夏侯霸	1
10010102	真・夏侯霸	2
10010103	真・夏侯霸	3
10010104	真・夏侯霸	4
10010105	真・夏侯霸	5
10011001	張春華	1
10011002	張春華	2
10011003	張春華	3
10011004	張春華	4
10011005	張春華	5
10011101	真・張春華	1
10011102	真・張春華	2
10011103	真・張春華	3
10011104	真・張春華	4
10011105	真・張春華	5
10012001	馬良	1
10012002	馬良	2
10012003	馬良	3
10012004	馬良	4
10012005	馬良	5
10012101	真・馬良	1
10012102	真・馬良	2
10012103	真・馬良	3
10012104	真・馬良	4
10012105	真・馬良	5
10013001	李典	1
10013002	李典	2
10013003	李典	3
10013004	李典	4
10013005	李典	5
10013101	真・李典	1
10013102	真・李典	2
10013103	真・李典	3
10013104	真・李典	4
10013105	真・李典	5
10014001	樂進	1
10014002	樂進	2
10014003	樂進	3
10014004	樂進	4
10014005	樂進	5
10014101	真・樂進	1
10014102	真・樂進	2
10014103	真・樂進	3
10014104	真・樂進	4
10014105	真・樂進	5
10015001	諸葛瑾	1
10015002	諸葛瑾	2
10015003	諸葛瑾	3
10015004	諸葛瑾	4
10015005	諸葛瑾	5
10015101	真・諸葛瑾	1
10015102	真・諸葛瑾	2
10015103	真・諸葛瑾	3
10015104	真・諸葛瑾	4
10015105	真・諸葛瑾	5
10016001	魏延	1
10016002	魏延	2
10016003	魏延	3
10016004	魏延	4
10016005	魏延	5
10016101	真・魏延	1
10016102	真・魏延	2
10016103	真・魏延	3
10016104	真・魏延	4
10016105	真・魏延	5
10017001	于禁	1
10017002	于禁	2
10017003	于禁	3
10017004	于禁	4
10017005	于禁	5
10017101	真・于禁	1
10017102	真・于禁	2
10017103	真・于禁	3
10017104	真・于禁	4
10017105	真・于禁	5
10018001	臧霸	1
10018002	臧霸	2
10018003	臧霸	3
10018004	臧霸	4
10018005	臧霸	5
10018101	真・臧霸	1
10018102	真・臧霸	2
10018103	真・臧霸	3
10018104	真・臧霸	4
10018105	真・臧霸	5
10019001	龐德	1
10019002	龐德	2
10019003	龐德	3
10019004	龐德	4
10019005	龐德	5
10019101	真・龐德	1
10019102	真・龐德	2
10019103	真・龐德	3
10019104	真・龐德	4
10019105	真・龐德	5
10020001	丁奉	1
10020002	丁奉	2
10020003	丁奉	3
10020004	丁奉	4
10020005	丁奉	5
10020101	真・丁奉	1
10020102	真・丁奉	2
10020103	真・丁奉	3
10020104	真・丁奉	4
10020105	真・丁奉	5
10021001	夏侯淵	1
10021002	夏侯淵	2
10021003	夏侯淵	3
10021004	夏侯淵	4
10021005	夏侯淵	5
10021101	真・夏侯淵	1
10021102	真・夏侯淵	2
10021103	真・夏侯淵	3
10021104	真・夏侯淵	4
10021105	真・夏侯淵	5
10022001	黃蓋	1
10022002	黃蓋	2
10022003	黃蓋	3
10022004	黃蓋	4
10022005	黃蓋	5
10022101	真・黃蓋	1
10022102	真・黃蓋	2
10022103	真・黃蓋	3
