稱號編號	稱號說明	品質顏色	稱號類型	時效	功能編號	次數要求	屬性ID	屬性值	獎勵銅錢	描述	圖示	是否特效
id	des	colour	type	time	gongnengid	times	attrid	attrnum	tongqian	describe	picture	iseffect
1	白手起家	1	1	-1	0	1	4	100	10000	花光所有銅錢	chenghao_101	0
2	比翼雙飛	1	1	-1	53	1	4	100	10000	創建角色第一天迎娶關銀屏	chenghao_102	0
3	BOSS殺手	1	1	-1	23	1	1	10	10000	首次擊殺世界BOSS	chenghao_103	0
4	劃拳高手	1	1	-1	53	5	2	10	10000	與美人免費劃拳5連勝	chenghao_104	0
5	衰神附身	1	1	-1	25	20	3	10	10000	禳星連續20次掃帚星	chenghao_105	0
6	爭霸高手	1	1	-1	20	20	1	10	10000	完成三國爭霸20連殺	chenghao_106	0
7	勇冠三軍	1	1	-1	20	40	3	20	10000	完成三國爭霸40連殺	chenghao_107	0
8	心誠則靈	1	1	-1	31	30	4	200	10000	連續祭拜媽祖30天	chenghao_108	0
9	有容乃大	1	1	-1	19	1	2	10	10000	開啟背包倉庫所有格子	chenghao_109	0
10	一見鍾情	1	1	-1	27	1	4	100	10000	1次性收到99朵鮮花	chenghao_110	0
11	三英戰呂布	4	2	-1	11	1	1	0	100000	最先通關過關斬將呂布的隊伍	chenghao_201	0
12	演武王	4	2	259200	13	1	1	0	100000	演武場獎勵結算時排名第一	chenghao_202	0
13	天下第一幫	4	2	518400	16	1	1	0	100000	幫派戰冠軍幫幫主	chenghao_203	0
14	非誠勿擾	4	2	604800	27	1	1	0	100000	週鮮花榜排名第一	chenghao_204	0
15	戰神	4	2	-1	20	100	1	0	100000	完成三國爭霸100連殺	chenghao_205	0
16	腰纏萬貫	4	2	604800	27	1	1	0	100000	週銅錢榜排名第一	chenghao_207	0
17	一騎當先	4	2	604800	27	1	1	0	100000	週關卡榜排名第一	chenghao_206	0
18	徒有虛名	4	2	-1	27	1	1	0	100000	最先通關過關斬將司馬懿的隊伍	chenghao_209	0
19	變身達人	1	1	-1	0	50	4	200	10000	使用變身卡變身50次	chenghao_111	0
20	卡牌大師	1	1	-1	0	200	1	10	10000	使用變身卡變身200次	chenghao_112	0
21	超級變變變	4	2	-1	0	500	1	0	100000	使用變身卡變身500次	chenghao_210	0
22	龍的傳人	4	2	-1	31	30	1	0	100000	夷州尋仙護送龍船30次	chenghao_211	0
23	應運而生	1	1	-1	21	8	3	10	10000	神秘商店連續8次刷新不出材料	chenghao_113	0
24	君子好逑	1	1	-1	53	5	3	10	10000	與美人猜拳5連敗	chenghao_114	0
25	新手指導員	3	2	432000	0	1	1	0	50000	官方活動獲得	chenghao_212	0
26	天命之子	3	1	-1	0	1	1	0	50000	官方活動獲得	chenghao_213	0
27	獨步武林	4	2	-1	77	1	1	0	100000	爭霸天下冠軍獲得	chenghao_214	0
28	藍色憂鬱	4	2	-1	0	1	1	0	50000	官方活動獲得	chenghao_215	0
29	天下無雙	5	2	2592000	77	1	1	0	100000	跨服爭霸天下冠軍獲得	chenghao_216	0
30	千面風華	4	2	-1	0	1000	1	0	1000000	使用變身卡變身1000次	chenghao_217	0
31	以假亂真	5	2	-1	0	2500	1	0	2000000	使用變身卡變身2500次	chenghao_218	0
35	三國無雙	5	2	-1	0	1	3	20	300000	官方活動獲得	chenghao_219	0
36	王者歸來	5	1	-1	0	1	3	20	300000	官方活動獲得	chenghao_220	0
37	傲視群雄	5	2	1296000	77	1	1	0	100000	群雄爭霸冠軍獲得	chenghao_221	0
38	駕輕就熟	5	2	-1	104	50	3	10	300000	累積押送黃金馬車50次	chenghao_222	0
39	古道熱腸	5	2	-1	104	500	3	10	300000	押送軍糧累積保護500次	chenghao_223	0
40	風花雪月	5	2	-1	27	8888	3	10	300000	累計收到鮮花8888朵	chenghao_224	0
41	金玉滿堂	5	2	-1	82	6	3	10	300000	官方活動獲得	chenghao_225	0
42	百獸之王	5	2	-1	12	10	3	10	300000	累積獲得10個坐騎	chenghao_226	0
43	大富翁	5	2	-1	0	1	3	10	300000	大富翁活動中獲得	chenghao_227	0
44	橫掃千軍	5	2	-1	13	1000	3	10	300000	演武場達成1000連勝	chenghao_228	0
