星宿id	星宿名稱	星宿升級所需經驗	兌換消耗	可否兌換	最低兌換等級	命力計算參數	星宿類型	星宿品質	星宿提供經驗	星宿圖示	出售價格	最低穿戴等級	每级增加数值	每级增加数值	星宿說明1	星宿兌換說明	星宿說明	啟動需求星宿id1	啟動說明1	啟動需求星宿id2	啟動說明2	是否可拾取	是否可賣出
markid	markname	levelupexp	exchangeconsume	ischang	exchangelevel	markcri	marktype	markquality	markexp	marktexiao	markprice	uselevel	levenum1	levenum2	marktips1	markchangetips	marktips2	unlockneedmarkid1	unlocktips1	unlockneedmarkid2	unlocktips2	isshique	issall
10320101	天狼	0|120|240|480|960|1920|3840|7680|11790|15360|23040|30720	0	0	0	0.1	1	2	30	10001	6750	1	50	0	增加普通攻擊%	每升一級增加普通攻擊%	0	0	0	0	0	1	1
10320201	天煞	0|120|240|480|960|1920|3840|7680|11790|15360|23040|30720	0	0	0	0.1	1	2	30	10002	6750	1	50	0	增加絕技攻擊%	每升一級增加絕技攻擊%	0	0	0	0	0	1	1
10320301	天破	0|120|240|480|960|1920|3840|7680|11790|15360|23040|30720	0	0	0	0.1	1	2	30	10003	6750	1	50	0	增加法術攻擊%	每升一級增加法術攻擊%	0	0	0	0	0	1	1
10330101	天軍	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10004	13500	1	100	0	增加普通攻擊%	每升一級增加普通攻擊%	0	0	0	0	0	1	1
10330201	天梁	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10005	13500	1	100	0	增加絕技攻擊%	每升一級增加絕技攻擊%	0	0	0	0	0	1	1
10330301	天府	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10006	13500	1	100	0	增加法術攻擊%	每升一級增加法術攻擊%	0	0	0	0	0	1	1
10330401	天翼	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10007	13500	1	75	0	增加普通防禦%	每升一級增加普通防禦%	0	0	0	0	0	1	1
10330501	天室	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10008	13500	1	75	0	增加法術防禦%	每升一級增加法術防禦%	0	0	0	0	0	1	1
10330601	天固	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10009	13500	1	75	0	增加絕技防禦%	每升一級增加絕技防禦%	0	0	0	0	0	1	1
10330701	天權	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10010	13500	1	10	0	增加閃避等級%	每升一級增加閃避等級%	0	0	0	0	0	1	1
10330801	天機	0|240|480|960|1920|3840|7680|15360|23040|30720|46080|61440	0	0	0	0.1	1	3	60	10011	13500	1	20	0	增加暴擊等級%	每升一級增加暴擊等級%	0	0	0	0	0	1	1
