编号	坐骑id	名称	坐騎圖標	坐騎buff图标	角色id	变身後id	貨幣類型：1為銅錢，2為道具，4為元寶	貨幣ID	貨幣數量	商店是否顯示，0不顯示，1顯示	前端排序	時間限制	描述	移动速度(万分比）	品質	特效	属性加成id	属性加成数量	组号	对应的坐骑礼包itemid	需要的坐骑碎片数量	是否顯示在百發百中	是否在坐騎圖鑒兌換	精裝是否活動禮包0.是1.否（前端用）	精裝獨立特效(原夥伴絕技特效不顯示)(前端使用）
id	itemid	name	icon1	icon2	playerid	mountid	pricetype	coinid	pricenum	show	sort	time	text	speed	colour	effect	attributeid	attributenum	groupid	giftid	needmountchip	shootshow	exchange	buy	skillid
1	30420001	朱雀（30天）	30420001_1	30420001_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001011|70001012|70001013|70001014|70001015|70001016|70001007|70001008|70001009|70001010	4	0	99999	0	1	2592000	四大神獸之一！大幅增加移動速度，通過官方活動獲得！	15000	5	0	1|2|3	50|50|50	2	30300191	250	1	0	1	0
2	30420002	玄武	30420002_1	30420002_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001021|70001022|70001023|70001024|70001025|70001026|70001007|70001008|70001009|70001010	2	10500105	999	1	2	-1	四大神獸之一！大幅增加移動速度。	12000	4	0	4|10|11|12	500|200|200|200	2	30300190	200	1	1	1	0
3	30420002	玄武	30420002_1	30420002_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001021|70001022|70001023|70001024|70001025|70001026|70001007|70001008|70001009|70001010	4	0	2000	1	3	-1	四大神獸之一！大幅增加移動速度。	12000	4	0	4|10|11|12	500|200|200|200	2	30300190	200	0	0	1	0
4	30420003	麋鹿	30420003_1	30420003_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001031|70001032|70001033|70001034|70001035|70001036|70001007|70001008|70001009|70001010	4	0	99999	0	4	-1	性格溫順的麋鹿！大幅移動速度，來自聖誕老人的饋贈！	12000	4	0	1|2|3	20|20|20	3	30300192	200	1	1	1	0
5	30420004	大雪龍騎	30420004_1	30420004_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001041|70001042|70001043|70001044|70001045|70001046|70001007|70001008|70001009|70001010	4	0	500	1	5	-1	魏國鐵騎甲天下，大雪龍騎雄魏國！小幅增加移動速度。	11500	3	0	4|10|11|12	300|100|100|100	5	30300189	50	1	1	1	0
6	30420005	麒麟坐騎	30420005_1	30420005_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001051|70001052|70001053|70001054|70001055|70001056|70001007|70001008|70001009|70001010	2	10500104	99999	0	6	-1	聖獸麒麟！據傳為神的坐騎，大幅增加移動速度，官方活動獲得！	12000	4	0	1|2|3	20|20|20	3	30300193	200	1	1	1	0
7	30420006	褐鬃馬	30420006_1	30420006_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001061|70001062|70001063|70001064|70001065|70001066|70001007|70001008|70001009|70001010	1	0	99999	1	7	-1	一匹普通的褐鬃馬！小幅增加移動速度	11000	2	0	4	100	5	30300188	5	1	1	1	0
8	30420007	白龍馬	30420007_1	30420007_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001071|70001072|70001073|70001074|70001075|70001076|70001007|70001008|70001009|70001010	4	0	99999	0	8	-1	傳說由小白龍所化！大幅增加移動速度，官方活動獲得！	12000	4	0	1|2|3	10|10|10	5	30300276	150	1	1	1	0
9	30420008	白雲（30天）	30420008_1	30420008_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001101|70001102|70001103|70001104|70001105|70001106|70001007|70001008|70001009|70001010	4	0	99999	0	9	2592000	一朵白雲！	12000	4	0	4	200	7	30300530	20	1	0	1	0
10	30420008	白雲	30420008_1	30420008_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001101|70001102|70001103|70001104|70001105|70001106|70001007|70001008|70001009|70001010	4	0	99999	0	10	-1	一朵白雲！	12000	4	0	4	200	7	30300531	50	1	1	1	0
11	30420010	紫雲（30天）	30420010_1	30420010_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001091|70001092|70001093|70001094|70001095|70001096|70001007|70001008|70001009|70001010	4	0	99999	0	11	2592000	一朵紫雲！	12000	4	0	4	200	7	30300532	20	1	0	1	0
12	30420010	紫雲	30420010_1	30420010_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001091|70001092|70001093|70001094|70001095|70001096|70001007|70001008|70001009|70001010	4	0	99999	0	12	-1	一朵紫雲！	12000	4	0	4	200	7	30300533	50	1	1	1	0
13	30420012	藍雲（30天）	30420012_1	30420012_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001081|70001082|70001083|70001084|70001085|70001086|70001007|70001008|70001009|70001010	4	0	99999	0	13	2592000	一朵藍雲！	12000	4	0	4	200	7	30300534	20	1	0	1	0
14	30420012	藍雲	30420012_1	30420012_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001081|70001082|70001083|70001084|70001085|70001086|70001007|70001008|70001009|70001010	4	0	99999	0	14	-1	一朵藍雲！	12000	4	0	4	200	7	30300535	50	1	1	1	0
15	30420014	赤兔馬	30420014_1	30420014_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001201|70001202|70001203|70001204|70001205|70001206|70001007|70001008|70001009|70001010	4	0	99999	0	15	-1	三國第一名馬！人中呂布，馬中赤兔！	12000	4	chituhuo	1|2|3	20|20|20	5	30300564	200	1	1	1	0
16	30420015	冰焰白龍馬	30420015_1	30420015_2	70001001|70001002|70001003|70001004|70001005|70001006|70001007|70001008|70001009|70001010	70001111|70001112|70001113|70001114|70001115|70001116|70001007|70001008|70001009|70001010	4	0	99999	0	16	-1	極寒之地修煉過的白龍馬！散髮冰雪的氣息！	12000	4	bailongma	1|2|3	20|20|20	5	30300567	300	1	1	1	0
