星宿id	星宿名稱
markid	markname
10320101	天狼
10320201	天煞
10320301	天破
10330101	天軍
10330201	天梁
10330301	天府
10330401	天翼
10330501	天室
10330601	天固
10330701	天權
10330801	天機
10330901	天璣
10331001	天璿
10331101	天樞
10340101	武曲
10340201	太陰
10340301	文曲
10340401	延壽
10340501	玉衡
10340601	破軍
10340701	華蓋
10340801	廉貞
10340901	貪狼
10341001	七殺
10350101	孟章
10350301	陵光
10350201	監兵
10350401	紫微
10350501	奪光
10350601	太歲
10350701	執明
10350801	鎮星
10350901	太微
10351001	辰星
10351101	太白
10351201	熒惑
10351701	護心
10351301	朱雀
10351401	白虎
10351501	青龍
10351601	玄武
10360101	星宿碎片
10351801	麒麟
10351901	騰蛇
10352001	鳳凰
10352101	白澤
10352201	重明
10352301	畢方
10352401	九嬰
10352501	勾陳
10352601	窮奇
10352701	混沌
10352801	鯤鵬
10352901	睚眥
10353001	陸吾
10353101	諸懷
10353201	燭龍
10353301	蒲牢
10370101	太初
10380101	掃帚星
10380201	掃帚星
10380301	掃帚星
10380401	掃帚星
