序号	武将id	热点类别	抽取数量	数量几率	权重
id	partner_id	type	roll_num	num_rate	weight
1	10001032	1	-1	10000	0
2	10001009	2	3|5	5500|4500	625
3	10001014	2	3|5	5500|4500	625
4	10001015	2	3|5	5500|4500	625
5	10001016	2	3|5	5500|4500	625
6	10001017	2	3|5	5500|4500	625
7	10001018	2	3|5	5500|4500	625
8	10001025	2	3|5	5500|4500	625
9	10001027	2	3|5	5500|4500	800
10	10001029	2	3|5	5500|4500	800
11	10001030	2	3|5	5500|4500	800
12	10001033	2	3|5	5500|4500	800
13	10001036	2	3|5	5500|4500	800
14	10001039	2	3|5	5500|4500	0
15	10001037	1	-1	10000	0
16	10001034	2	3|5	5500|4500	0
17	10001035	1	-1	10000	0
18	10001042	2	3|5	5500|4500	0
19	10001038	2	3|5	5500|4500	0
20	10001040	2	3|5	5500|4500	800
21	10001043	2	3|5	5500|4500	0
22	10001045	1	-1	10000	0
23	10001044	2	3|5	5500|4500	825
24	10001046	2	3|5	5500|4500	0
25	10001052	1	-1	10000	5000
26	10001056	1	-1	10000	0
27	10001059	1	-1	10000	0
28	10001061	1	-1	10000	0
29	10001053	2	3|5	5500|4500	0
30	10001058	2	3|5	5500|4500	0
31	10001050	2	3|5	5500|4500	0
32	10001051	2	3|5	5500|4500	0
33	10001047	2	3|5	5500|4500	0
34	10001064	1	-1	10000	0
35	10001032	2	3|5	6000|4000	0
36	10001037	2	3|5	6000|4000	0
37	10001035	2	3|5	6000|4000	0
38	10001045	2	3|5	6000|4000	0
39	10001052	2	3|5	6000|4000	0
40	10001056	2	3|5	6000|4000	0
41	10001059	2	3|5	6000|4000	0
42	10001061	2	3|5	6000|4000	0
43	10001064	2	3|5	6000|4000	0
44	10001067	1	-1	10000	0
45	10001071	1	-1	10000	0
46	10001074	1	-1	10000	0
47	10001034	3	0	0	0
48	10001042	3	0	0	0
49	10001077	1	-1	10000	0
50	10001079	1	-1	10000	0
51	10001082	1	-1	10000	0
52	10001052	1	-1	10000	5000
53	10001046	3	0	0	0
54	10001054	3	0	0	0
55	10001065	3	0	0	0
56	10001069	3	0	0	0
57	10001072	3	0	0	0
58	10001034	4	0	0	0
59	10001036	4	0	0	0
60	10001038	4	0	0	0
61	10001039	4	0	0	0
62	10001040	4	0	0	0
63	10001041	4	0	0	0
64	10001042	4	0	0	0
65	10001043	4	0	0	0
66	10001044	4	0	0	0
67	10001046	4	0	0	0
68	10001047	4	0	0	0
69	10001048	4	0	0	0
70	10001049	4	0	0	0
71	10001050	4	0	0	0
72	10001051	4	0	0	0
73	10001053	4	0	0	0
74	10001054	4	0	0	0
75	10001055	4	0	0	0
76	10001057	4	0	0	0
77	10001058	4	0	0	0
78	10001060	4	0	0	0
79	10001062	4	0	0	0
80	10001063	4	0	0	0
81	10001065	4	0	0	0
82	10001066	4	0	0	0
83	10001068	4	0	0	0
84	10001069	4	0	0	0
85	10001070	4	0	0	0
86	10001072	4	0	0	0
87	10001073	4	0	0	0
88	10001075	4	0	0	0
89	10001076	4	0	0	0
90	10001078	4	0	0	0
91	10001080	4	0	0	0
92	10001081	4	0	0	0
