編號	名稱	描述#材料名称不要超过4字	功能描述	類型	細分子類	圖示	音效	打開是否彈窗	職業限制	等級限制	品質	夥伴使用前提品質	堆疊數量	背包排序優先順序	天生強化等級	強化消耗比率	普通防禦	普通防禦強化值	絕技防禦	絕技防禦強化值	生命	生命強化值	普通攻擊	普通攻擊強化值	法術攻擊	法術攻擊強化值	絕技攻擊	絕技攻擊強化值	先攻值	強化先攻值係數	金幣價格	合成價格	售出價格	是否可以賣出	是否可銷毀	基礎裝備	材料	生成物品	給予金幣	給予銅幣	給予經驗	給予體力	給予聲望	給予命格	給予掉落	给予鲜花类型（1 2 3）	產出副本	下一等級卷軸	穿戴位置	通過此副本可使用直接製作功能	職業對應禮包	禮包id	是否是等級開禮包	等級開禮包(职业&等级&礼包id)	是否能批量打開（1能0不能）
id	name	commenttext	functiontext	type1	type2	iconid	sound	message	needclass	needlevel	quality	needpartnerquality	stackednumber	packsort	strengthenlevel	strengthenuseratio	putongdefence	putongdefencestrengthen	juejidefence	juejidefencestrengthen	hp	hpstrengthen	putongattack	putongattackstrengthen	fashuattack	fashuattackstrengthen	juejiattack	juejiattackstrengthen	initiative	strengtheninitiative	goldprice	comeposeprice	saleprice	issale	isdie	baseitem	materials	newitem	givegold	givecoin	giveexp	givetili	giveshengwang	givemingge	dropset	giveflower	outputcopy	nextlevelscroll	position	copyid	zhiye	gamegift	islevelgift	gamelevelgifts	batch
10100101	普通項鍊	該道具是普通項鍊	裝備	1	5	10100101	0	0	1|2|3|4	1	2	0	1	10	1	6000	0	0	0	0	0	0	0	0	0	0	30	10	0	1	199	0	3153	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100102	1	0	0	0	0	0	0
10100102	優秀項鍊	該道具是優秀項鍊	裝備	1	5	10100102	0	0	1|2|3|4	20	3	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	100	20	0	2	299	0	8058	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100103	1	0	0	0	0	0	0
10100103	精良項鍊	該道具是精良項鍊	裝備	1	5	10100103	0	0	1|2|3|4	40	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	350	35	20	2	399	0	62993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100104	1	0	0	0	0	0	0
10100104	火焰項鍊	該道具是火焰項鍊	裝備	1	5	10100104	0	0	1|2|3|4	60	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	600	50	40	2	499	0	127530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100105	1	0	0	0	0	0	0
10100105	寒冰項鍊	該道具是寒冰項鍊	裝備	1	5	10100105	0	0	1|2|3|4	70	4	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	800	60	60	2	599	0	238672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100106	1	0	0	0	0	0	0
10100106	狂風項鍊	該道具是狂風項鍊	裝備	1	5	10100106	0	0	1|2|3|4	80	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1000	70	80	2	699	0	421645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100107	1	0	0	0	0	0	0
10100107	雷霆項鍊	該道具是雷霆項鍊	裝備	1	5	10100107	0	0	1|2|3|4	90	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1200	80	100	2	799	0	534835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100108	1	0	0	0	0	0	0
10100108	聖光項鏈	該道具是聖光項鏈	裝備	1	5	10100108	0	0	1|2|3|4	100	5	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1400	90	120	2	899	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100109	1	0	0	0	0	0	0
10100109	暗黑項鏈	該道具是暗黑項鏈	裝備	1	5	10100109	0	0	1|2|3|4	110	6	0	1	10	1	20000	0	0	0	0	0	0	0	0	0	0	1600	100	140	2	999	0	612610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	20100110	1	0	0	0	0	0	0
