mid	描述	名字	是否筛选
id	desc	name	is_filter
0		eMessageTypeOK	0
1		eMessageTypeError	0
2		eMessageTypeBroadcast	0
3		eMessageTypeUnknown	0
4		eMessageTypeLoadGameServer	0
5		eMessageTypeLoadGameServerCounter	0
6		eMessageTypeServerDaylyUpdate	0
7		eMessageTypeSaveGameServer	0
8		eMessageTypeLoadGhost	0
9		eMessageTypeUnloadGhost	0
10		eMessageTypeEnterScene	0
11		eMessageTypeExitScene	0
12		eMessageTypeSceneEntered	0
13		eMessageTypeSubscribeScene	0
14		eMessageTypeUnsubscribeScene	0
15		eMessageTypeLoadIDSeeds	0
16		eMessageTypeNextPlayerID	0
17		eMessageTypeNextLeagueID	0
18		eMessageTypeNextBattleReportID	0
19		eMessageTypeLoadBattleReport	0
20		eMessageTypeSaveBattleReport	0
21		eMessageTypeLoadGuideStage	0
22		eMessageTypeSaveGuideStage	0
23		eMessageTypeGuideStage	0
24		eMessageTypeNextBulletinID	0
25		eMessageTypeLoadBulletin	0
26		eMessageTypeSaveBulletin	0
27		eMessageTypeNextRecompenseID	0
28		eMessageTypeLoadRecompense	0
29		eMessageTypeSaveRecompense	0
30		eMessageTypeConfirmConnected	0
256	创建角色	eMessageTypeLogin	0
257		eMessageTypeLoginSuccess	0
258		eMessageTypeLoginFailed	0
259		eMessageTypeLogout	0
260		eMessageTypeLoadServerCounter	0
261		eMessageTypeIncreaseServerCounter	0
262		eMessageTypeOnServerCounter	0
263		eMessageTypeSaveDaylyUpdates	0
264		eMessageTypeLogoutSuccess	0
265		eMessageTypeNoPlayer	0
266		eMessageTypeCreatePlayer	0
267		eMessageTypeSaveLastLogin	0
268		eMessageTypePostLogin	0
269		eMessageTypeLoadPlayerID	0
270		eMessageTypePlayerCreated	0
271		eMessageTypePlayerSessionRegistered	0
272		eMessageTypeNewDayComes	0
273		eMessageTypeRegularPowerAward	0
274		eMessageTypeJiuZuFanBao	0
275		eMessageTypeUpdatePower	0
276		eMessageTypeInitializeServerCounter	0
277		eMessageTypeRegularAttackRefresh	0
278		eMessageTypeRefreshAttack	0
279		eMessageTypeLoadPlayerIDByName	0
280		eMessageTypeQueryServerTime	0
281		eMessageTypeServerTime	0
282		eMessageTypeSyncServerTime	0
283		eMessageTypeOnArenaProcessedServerCounter	0
284		eMessageTypeLoadVipInfo	0
285		eMessageTypeLoadBlessInfo	0
286		eMessageTypeLeaveScene	0
287		eMessageTypeBackScene	0
288		eMessageTypePersistAll	0
289		eMessageTypeEnterReconnectScene	0
290		eMessageTypeGetAllPlayerAgentIDs	0
512		eMessageTypeLoadGameConfig	0
513		eMessageTypeLoadPlayerInfo	0
514		eMessageTypeLoadRoleInfo	0
515		eMessageTypeSaveRoleInfos	0
516		eMessageTypePlayerInfo	0
517		eMessageTypeRoleInfo	0
518		eMessageTypeLoadPlayerDisplayInfo	0
519		eMessageTypeLoadFormation	0
520		eMessageTypeEarnedExp	0
521		eMessageTypeLevelUp	0
522		eMessageTypeLoadDetailRoleInfo	0
523		eMessageTypeDetailRoleInfo	0
524		eMessageTypeSavePlayer	0
525		eMessageTypeSaveRole	0
526		eMessageTypeSavePlayerAndRoles	0
527		eMessageTypeLoadOfflineMessages	0
528		eMessageTypeMarkOfflineMessagesSent	0
529		eMessageTypeSaveOfflineMessage	0
530		eMessageTypeAccountInfo	0
531		eMessageTypePlayerDisplayInfo	0
768		eMessageTypeLoadBackpack	0
769		eMessageTypeExpandBackpack	0
770		eMessageTypeMoveBackpackItem	0
771		eMessageTypeDropBackpackItem	0
772		eMessageTypeClearUpBackpack	0
773		eMessageTypeSaveBackpackRelated	0
774		eMessageTypeBackpackExpanded	0
775		eMessageTypeBackpackContent	0
776	合成背包物品	eMessageTypeSynthesizeBackpackItem	0
777		eMessageTypeSaveBackpackAndWarehouse	0
778		eMessageTypeFromBackpackToWarehouse	0
779		eMessageTypeFromWarehouseToBackpack	0
780		eMessageTypeSynthesizeSucc	0
781		eMessageTypeRecastEquipment	0
782		eMessageTypeRecastEquipmentSuccess	0
1024		eMessageTypeLoadWarehouse	0
1025	仓库开孔	eMessageTypeExpandWarehouse	0
1026		eMessageTypeMoveWarehouseItem	0
1027		eMessageTypeDropWarehouseItem	0
1028		eMessageTypeClearUpWarehouse	0
1029		eMessageTypeSaveWarehouseRelated	0
1030		eMessageTypeWarehouseExpanded	0
1031		eMessageTypeWarehouseContent	0
1280		eMessageTypeChangeFormation	0
1536	招募伙伴	eMessageTypeInvitePartner	0
1537		eMessageTypeDismissPartner	0
1538		eMessageTypeRecallPartner	0
1539		eMessageTypeLoadAllPartners	0
1540		eMessageTypeLoadOffTeamPartners	0
1541		eMessageTypeLoadTeamPartners	0
1542		eMessageTypeAllPartners	0
1543		eMessageTypeOffTeamPartners	0
1544		eMessageTypeTeamPartners	0
1545		eMessageTypeInvitePartnerSucc	0
1792		eMessageTypeLoadMingGeBeiBao	0
1793		eMessageTypeLoadRoleMingGe	0
1794		eMessageTypeLoadMingGeKeZhan	0
1795	猎命	eMessageTypeLieMing	0
1796		eMessageTypeOnMingGe	0
1797		eMessageTypeOffMingGe	0
1798		eMessageTypeMoveBeiBaoMingGe	0
1799		eMessageTypeMoveRoleMingGe	0
1800		eMessageTypeExchangeMingGe	0
1801		eMessageTypePickKeZhanMingGe	0
1802	卖出命格	eMessageTypeSellKeZhanMingGe	0
1803		eMessageTypeMergeBeiBaoMingGe	0
