編號	名稱	邮箱中描述	物品描述	禮包icon（大）	禮包icon（小）	魔力	皮膚id	水晶	能量	帮会货币	免费换装备buff	紫魂buff	經驗	聲望	競技場邀請券	好友點數	魔靈	卷軸	物品	精髓	魔灵碎片	魔灵碎片	符文	皮肤	禮包發放後有效時間	類型	广播message表id	數量(前端顯示用)
id	name	desc	desc2	icon1	icon2	mana	skin_id	crystal	energy	guild_coin	unequip_buff	purple_soul_buff	exp	glory	invitation	social	partner	scroll	item	essence	piece	random_piece	rune	skin_piece	duration	type	message_id	display_num
13001001	簽到銅錢獎勵	獲得每天簽到獎勵	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	1	0	0
13001002	簽到元寶獎勵	獲得每天簽到獎勵	稀有的貨幣|可通過副本掉落或儲值獲得	images/icon/yuanbao_big.png	images/icon/yuanbao_small.png	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604800	1	0	0
13001003	簽到武將獎勵	獲得每天簽到獎勵	武將	images/wish/10004.png	images/save_huangzhong/mana_small.png	0	0	0	0	0	0	0	0	0	0	0	10001001:2:1#1	0	0	0	0	0	0	0	604800	1	0	0
13001004	簽到符籙獎勵	獲得每天簽到獎勵	蘊含神秘力量的符籙。|可召喚1名1~3星的武將。|結果無法預測。	images/shop/0001.png	images/icon/putongfl_small.png	0	0	0	0	0	0	0	0	0	0	0	0	90001001#2	0	0	0	0	0	0	604800	1	0	0
13002001	3萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002002	10萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002003	1萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002004	2萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
13002005	3萬銅錢	系統送來的禮物	用來強化、購買商品、召喚武將的貨幣	images/icon/tongqian_big.png	images/icon/tongqian_small.png	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8553600	2	0	0
